date,event_name,city,impact_level,affects_a8_ost,affects_a93_sued,day_position,is_weekend,status
2023-07-30,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,True,confirmed
2023-07-30,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-07-31,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-07-31,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-07-31,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-01,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-01,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-01,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-02,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-02,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-02,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-03,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-03,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-03,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-04,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-04,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-04,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-05,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-08-05,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,True,confirmed
2023-08-05,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-08-06,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2023-08-06,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,True,confirmed
2023-08-06,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-08-07,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-07,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-07,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-08,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-08,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-08,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-09,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-09,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-09,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-10,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-10,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-10,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-11,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2023-08-11,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,False,confirmed
2023-08-11,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-12,Kufsteiner Operettensommer,Kufstein,low,False,True,end,True,confirmed
2023-08-12,Rosenheimer Sommerfestival,Rosenheim,low,True,True,mid,True,confirmed
2023-08-12,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-08-13,Rosenheimer Sommerfestival,Rosenheim,low,True,True,end,True,confirmed
2023-08-13,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-08-14,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-15,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-16,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-17,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-18,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-19,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-08-20,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-08-21,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-22,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-23,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-24,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-25,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-26,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-08-27,Salzburger Festspiele,Salzburg,high,True,False,mid,True,confirmed
2023-08-28,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-29,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-30,Salzburger Festspiele,Salzburg,high,True,False,mid,False,confirmed
2023-08-31,Salzburger Festspiele,Salzburg,high,True,False,end,False,confirmed
2023-09-02,Rosenheimer Herbstfest,Rosenheim,high,True,True,start,True,confirmed
2023-09-03,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,True,confirmed
2023-09-04,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-05,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-06,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-07,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-08,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-09,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,True,confirmed
2023-09-10,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,True,confirmed
2023-09-11,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-12,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-13,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-14,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-15,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,False,confirmed
2023-09-16,Oktoberfest,Munich,high,True,False,start,True,confirmed
2023-09-16,Rosenheimer Herbstfest,Rosenheim,high,True,True,mid,True,confirmed
2023-09-17,Oktoberfest,Munich,high,True,False,mid,True,confirmed
2023-09-17,Rosenheimer Herbstfest,Rosenheim,high,True,True,end,True,confirmed
2023-09-18,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-19,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-20,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-21,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-22,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-23,Oktoberfest,Munich,high,True,False,mid,True,confirmed
2023-09-24,Oktoberfest,Munich,high,True,False,mid,True,confirmed
2023-09-25,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-26,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-27,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-28,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-29,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-09-30,Oktoberfest,Munich,high,True,False,mid,True,confirmed
2023-10-01,Oktoberfest,Munich,high,True,False,mid,True,confirmed
2023-10-02,Oktoberfest,Munich,high,True,False,mid,False,confirmed
2023-10-03,Oktoberfest,Munich,high,True,False,end,False,confirmed
2023-11-23,Salzburger Christkindlmarkt,Salzburg,med,True,False,start,False,confirmed
2023-11-24,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-11-25,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-11-26,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-11-27,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,start,False,confirmed
2023-11-27,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-11-28,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-11-28,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-11-29,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-11-29,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-11-30,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-11-30,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-01,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-01,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-02,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-02,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-12-03,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-03,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-12-04,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-04,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-05,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-05,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-06,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-06,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-07,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-07,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-08,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-08,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-09,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-09,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-12-10,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-10,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-12-11,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-11,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-12,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-12,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-13,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-13,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-14,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-14,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-15,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-15,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-16,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-16,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-12-17,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-17,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-12-18,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-18,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-19,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-19,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-20,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-20,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-21,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-21,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-22,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-22,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-23,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-23,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-12-24,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-24,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,True,confirmed
2023-12-25,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-25,Salzburger Christkindlmarkt,Salzburg,med,True,False,mid,False,confirmed
2023-12-26,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-26,Salzburger Christkindlmarkt,Salzburg,med,True,False,end,False,confirmed
2023-12-27,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-28,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-29,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,False,confirmed
2023-12-30,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,mid,True,confirmed
2023-12-31,Tollwood Winter & Christkindlmarkt,Munich,med,True,False,end,True,confirmed
2024-01-25,Mozartwoche,Salzburg,low,True,False,start,False,confirmed
2024-01-26,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2024-01-27,Mozartwoche,Salzburg,low,True,False,mid,True,confirmed
2024-01-28,Mozartwoche,Salzburg,low,True,False,mid,True,confirmed
2024-01-29,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2024-01-30,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2024-01-31,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2024-02-01,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2024-02-02,Mozartwoche,Salzburg,low,True,False,mid,False,confirmed
2024-02-03,Mozartwoche,Salzburg,low,True,False,mid,True,confirmed
2024-02-04,Mozartwoche,Salzburg,low,True,False,end,True,confirmed
2024-04-19,Frühlingsfest,Munich,med,True,False,start,False,confirmed
2024-04-20,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2024-04-21,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2024-04-22,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-04-23,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-04-24,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-04-25,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-04-26,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-04-27,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2024-04-28,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2024-04-29,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-04-30,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-05-01,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-05-02,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-05-03,Frühlingsfest,Munich,med,True,False,mid,False,confirmed
2024-05-04,Frühlingsfest,Munich,med,True,False,mid,True,confirmed
2024-05-05,Frühlingsfest,Munich,med,True,False,end,True,confirmed
2024-06-26,Tollwood Sommer,Munich,med,True,False,start,False,confirmed
2024-06-27,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-06-28,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-06-29,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2024-06-30,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2024-07-01,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-02,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-03,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-04,Kufsteiner Operettensommer,Kufstein,low,False,True,start,False,confirmed
2024-07-04,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-05,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-05,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-06,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2024-07-06,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2024-07-07,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2024-07-07,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2024-07-08,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-08,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-09,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-09,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-10,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-10,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-11,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-11,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-12,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-12,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-13,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2024-07-13,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2024-07-14,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
2024-07-14,Tollwood Sommer,Munich,med,True,False,mid,True,confirmed
2024-07-15,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-15,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-16,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-16,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-17,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-17,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-18,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-18,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-19,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,False,confirmed
2024-07-19,Tollwood Sommer,Munich,med,True,False,mid,False,confirmed
2024-07-19,Rosenheimer Sommerfestival,Rosenheim,low,True,True,start,False,confirmed
2024-07-19,Salzburger Festspiele,Salzburg,high,True,False,start,False,confirmed
2024-07-20,Kufsteiner Operettensommer,Kufstein,low,False,True,mid,True,confirmed
