window_id,start_date,end_date,risk_level,expected_direction,a8_direction,a93_direction,regions,holiday_names,record_origins,assessment_status
TW-020,2024-02-09,2024-02-12,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Semester Holidays|Spring Holidays,api,rule_derived
TW-021,2024-02-14,2024-02-17,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Semester Holidays|Spring Holidays,api,rule_derived
TW-022,2024-03-22,2024-03-25,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Easter Holidays,api,rule_derived
TW-023,2024-03-29,2024-04-01,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Easter Holidays,api,rule_derived
TW-024,2024-04-04,2024-04-06,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Easter Holidays,api,rule_derived
TW-025,2024-05-17,2024-05-23,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Pentecost Holidays,api,rule_derived
TW-026,2024-05-17,2024-05-20,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Pentecost Holidays,api,rule_derived
TW-027,2024-05-30,2024-06-01,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Pentecost Holidays,api,rule_derived
TW-028,2024-07-05,2024-07-07,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Summer Holidays,api,rule_derived
TW-029,2024-07-26,2024-07-29,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Summer Holidays,api,rule_derived
TW-030,2024-09-06,2024-09-09,extreme,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Summer Holidays,api,rule_derived
TW-031,2024-10-25,2024-10-28,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Autumn Holidays,api,rule_derived
TW-032,2024-10-29,2024-10-31,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Autumn Holidays,api,rule_derived
TW-033,2024-12-20,2024-12-23,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-034,2025-01-01,2025-01-06,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-035,2025-02-07,2025-02-10,high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Semester Holidays,api,rule_derived
TW-036,2025-02-13,2025-02-15,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Semester Holidays,api,rule_derived
TW-037,2025-02-28,2025-03-03,medium,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Spring Holidays,api,rule_derived
TW-038,2025-03-05,2025-03-07,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Spring Holidays,api,rule_derived
TW-039,2025-04-11,2025-04-14,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Easter Holidays,api,rule_derived
TW-040,2025-04-18,2025-04-21,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Easter Holidays,api,rule_derived
TW-041,2025-04-23,2025-04-25,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Easter Holidays,api,rule_derived
TW-042,2025-06-06,2025-06-12,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Pentecost Holidays,api,rule_derived
TW-043,2025-06-06,2025-06-09,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Pentecost Holidays,api,rule_derived
TW-044,2025-06-18,2025-06-20,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Pentecost Holidays,api,rule_derived
TW-045,2025-07-04,2025-07-06,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Summer Holidays,api,rule_derived
TW-046,2025-07-31,2025-08-03,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Summer Holidays,api,rule_derived
TW-047,2025-09-05,2025-09-07,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Summer Holidays,api,rule_derived
TW-048,2025-09-12,2025-09-15,very_high,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Summer Holidays,api,rule_derived
TW-049,2025-10-24,2025-10-27,high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Autumn Holidays,api,rule_derived
TW-050,2025-10-29,2025-10-31,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Autumn Holidays,api,rule_derived
TW-051,2025-10-31,2025-11-03,medium,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Autumn Holidays,api,rule_derived
TW-052,2025-11-05,2025-11-07,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Autumn Holidays,api,rule_derived
TW-053,2025-12-19,2025-12-26,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-054,2026-01-02,2026-01-06,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-055,2026-02-06,2026-02-09,high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Semester Holidays,api,rule_derived
TW-056,2026-02-12,2026-02-14,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Semester Holidays,api,rule_derived
TW-057,2026-02-13,2026-02-16,medium,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Spring Holidays,api,rule_derived
TW-058,2026-02-18,2026-02-20,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Spring Holidays,api,rule_derived
TW-059,2026-03-27,2026-03-30,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Easter Holidays,api,rule_derived
TW-060,2026-04-03,2026-04-06,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Easter Holidays,api,rule_derived
TW-061,2026-04-08,2026-04-10,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Easter Holidays,api,rule_derived
TW-062,2026-05-22,2026-05-28,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Pentecost Holidays,api,rule_derived
TW-063,2026-05-22,2026-05-25,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Pentecost Holidays,api,rule_derived
TW-064,2026-06-03,2026-06-05,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Pentecost Holidays,api,rule_derived
TW-065,2026-07-10,2026-07-12,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Summer Holidays,api,rule_derived
TW-066,2026-07-31,2026-08-03,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Summer Holidays,api,rule_derived
TW-067,2026-09-11,2026-09-14,extreme,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Summer Holidays,api,rule_derived
TW-068,2026-10-26,2026-11-02,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Autumn Holidays,api,rule_derived
TW-069,2026-10-29,2026-10-31,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Autumn Holidays,api,rule_derived
TW-070,2026-11-04,2026-11-06,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Autumn Holidays,api,rule_derived
TW-071,2026-12-23,2026-12-26,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-072,2027-01-04,2027-01-08,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-073,2027-02-05,2027-02-08,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Semester Holidays|Spring Holidays,api,rule_derived
TW-074,2027-02-10,2027-02-13,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Semester Holidays|Spring Holidays,api,rule_derived
TW-075,2027-03-19,2027-03-22,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Easter Holidays,api,rule_derived
TW-076,2027-03-26,2027-03-29,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Easter Holidays,api,rule_derived
TW-077,2027-03-31,2027-04-02,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Easter Holidays,api,rule_derived
TW-078,2027-05-14,2027-05-20,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Pentecost Holidays,api,rule_derived
TW-079,2027-05-14,2027-05-17,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Pentecost Holidays,api,rule_derived
TW-080,2027-05-26,2027-05-28,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Pentecost Holidays,api,rule_derived
TW-081,2027-07-09,2027-07-11,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Summer Holidays,api,rule_derived
TW-082,2027-07-30,2027-08-02,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Summer Holidays,api,rule_derived
TW-083,2027-09-10,2027-09-13,extreme,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Summer Holidays,api,rule_derived
TW-084,2027-10-26,2027-10-29,high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Autumn Holidays,api,rule_derived
TW-085,2027-10-29,2027-10-31,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Autumn Holidays,api,rule_derived
TW-086,2027-11-01,2027-11-04,medium,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Autumn Holidays,api,rule_derived
TW-087,2027-11-03,2027-11-05,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Autumn Holidays,api,rule_derived
TW-088,2027-12-23,2027-12-26,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-089,2028-01-04,2028-01-07,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-090,2028-02-11,2028-02-14,high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Semester Holidays,api,rule_derived
TW-091,2028-02-17,2028-02-19,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Semester Holidays,api,rule_derived
TW-092,2028-02-25,2028-02-28,medium,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Spring Holidays,api,rule_derived
TW-093,2028-03-01,2028-03-03,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Spring Holidays,api,rule_derived
TW-094,2028-04-07,2028-04-10,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Easter Holidays,api,rule_derived
TW-095,2028-04-14,2028-04-17,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Easter Holidays,api,rule_derived
TW-096,2028-04-19,2028-04-21,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Easter Holidays,api,rule_derived
TW-097,2028-06-02,2028-06-08,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Pentecost Holidays,api,rule_derived
TW-098,2028-06-02,2028-06-05,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Pentecost Holidays,api,rule_derived
TW-099,2028-06-14,2028-06-16,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Pentecost Holidays,api,rule_derived
TW-100,2028-07-07,2028-07-09,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Summer Holidays,api,rule_derived
TW-101,2028-07-28,2028-07-31,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Summer Holidays,api,rule_derived
TW-102,2028-09-08,2028-09-11,extreme,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Summer Holidays,api,rule_derived
TW-103,2028-10-26,2028-10-30,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Autumn Holidays,api,rule_derived
TW-104,2028-10-29,2028-11-03,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Autumn Holidays,api,rule_derived
TW-105,2028-12-22,2028-12-26,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-106,2029-01-03,2029-01-06,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Christmas Holidays,api,rule_derived
TW-107,2029-02-09,2029-02-12,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Semester Holidays|Spring Holidays,api|statutory_calculation,rule_derived
TW-108,2029-02-14,2029-02-17,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Semester Holidays|Spring Holidays,api|statutory_calculation,rule_derived
TW-109,2029-03-23,2029-03-26,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Easter Holidays,api|statutory_calculation,rule_derived
TW-110,2029-03-30,2029-04-02,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Easter Holidays,statutory_calculation,rule_derived
TW-111,2029-04-04,2029-04-06,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Easter Holidays,api,rule_derived
TW-112,2029-05-18,2029-05-24,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Pentecost Holidays,api|statutory_calculation,rule_derived
TW-113,2029-05-18,2029-05-21,high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI,Pentecost Holidays,statutory_calculation,rule_derived
TW-114,2029-05-30,2029-06-01,medium,return,A8 toward Munich,A93 toward Rosenheim,DE-BY,Pentecost Holidays,api,rule_derived
TW-115,2029-07-06,2029-07-08,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI,Summer Holidays,statutory_calculation,rule_derived
TW-116,2029-07-27,2029-07-30,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,DE-BY,Summer Holidays,api,rule_derived
TW-117,2029-09-07,2029-09-10,extreme,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Summer Holidays,api|statutory_calculation,rule_derived
TW-118,2029-10-26,2029-10-29,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Autumn Holidays,api|statutory_calculation,rule_derived
TW-119,2029-10-29,2029-11-02,very_high,return,A8 toward Munich,A93 toward Rosenheim,AT-SB|AT-TI|DE-BY,Autumn Holidays,api|statutory_calculation,rule_derived
TW-120,2029-12-21,2029-12-24,very_high,outbound,A8 toward Salzburg,A93 toward Kiefersfelden,AT-SB|AT-TI|DE-BY,Christmas Holidays,api|statutory_calculation,rule_derived
